M4id,SMAPE,MASE,OWA
Y11530,0.4199073949462762,5.389487739436541,1.6792050332076052
Y11531,0.2980959102282079,4.864587382967648,1.3120839270150788
Y11532,0.38857444034042876,7.708319426848347,2.6993742018708455
Y11533,0.07283632807647915,3.4731439046883863,1.4578544322149494
Y11534,0.38285020882139986,9.365554620614114,2.103208460815333
Y11535,0.29734788801299356,12.027009427015923,1.4361911083407892
Y11536,0.3208796938442909,6.997453136048749,1.8850817499930308
Y11537,0.022514891146856352,1.531038393115841,0.6620431190513552
Y11538,0.04272247540364802,2.098673579932391,1.2559972184480042
Y11539,0.052881475747771516,4.451787890566062,3.9253753217040144
Y11540,0.03052069625432428,1.1837870577733964,0.5184055839793036
Y11541,0.14744584897050828,4.12198370546021,1.1060517859636763
Y11542,0.15463944354970344,5.850546588512351,1.8247070606592444
Y11543,0.10990584339446674,2.84553517202816,1.0521622319259418
Y11544,0.03905929449397066,2.504768076511783,1.9315818944838803
Y11545,0.18651653534838455,5.538311467435659,2.327052256927921
Y11546,0.019147853906357443,3.5197805726377642,1.0454230067097279
Y11547,0.08164818786585674,1.7258636602473105,1.0427878065332175
Y11548,0.310930020099449,5.675253849349838,2.0791219394899483
Y11549,0.7690182998698233,9.092076463709935,1.357672460282956
Y11550,0.10251317337789558,1.146339138883463,1.0226682868531092
Y11551,0.15478245561266538,7.845729926402343,9.078341822580185
Y11552,0.0481899787037669,1.7976045090058794,0.4149093785686019
Y11553,0.12588115855931573,2.9671852517805033,0.9900949350525498
Y11554,0.1174446828579984,2.9620409382118407,0.7235668514888218
Y11555,0.04080016578212938,2.288079924803989,0.6836999917967129
Y11556,0.13266127245183792,3.90743414559842,0.8468151290709394
Y11557,0.09390625188274193,4.971649773023002,2.1855632226705897
Y11558,0.42104300848857495,10.161427645012298,2.15473340245484
Y11559,0.023580234016991972,2.7298657229129857,4.990166836404898
Y11560,0.10198989185768843,4.078003715081148,1.756339916302316
Y11561,0.05606875031255232,3.713651916836934,3.1770728988563492
Y11562,0.09812768845554803,3.372160634465558,2.2895894968392407
Y11563,0.05897941151426855,2.7898577161233553,1.3207483047074167
Y11564,0.04339551754172271,1.7885704185822873,2.2204611620514325
Y11565,0.1337791051905012,5.003922367162955,3.521172418076847
Y11566,0.4307890942618044,8.134959926456009,2.438877465080607
Y11567,0.966862488419499,5.356663963821489,1.8089605051727577
Y11568,0.3384606674317738,6.319827730506627,1.938079795737542
Y11569,0.42646800202427965,6.086485174461649,2.131111321527072
Y11570,0.463789875039307,7.762370394376686,12.926746862326308
Y11571,0.2159164721047169,3.410621962377915,1.04702563665422
Y11572,0.10279520762940936,4.841185939191268,1.3424774340337198
Y11573,0.18447633371545755,10.214795438435932,3.549155679939747
Y11574,0.11595055247649351,1.7765027811342302,1.2655577430182725
Y11575,0.17509816478507523,8.606549275025698,2.5927324038968544
Y11576,0.13644824644619055,3.4373853599936104,1.0499328793805422
Y11577,0.05428481859147977,3.658493041535586,1.889539204683158
Y11578,0.3045067556265261,8.996153452349004,1.5953179707197684
Y11579,0.2496293831816561,3.648919162074997,0.9638645849366996
Y11580,0.19890392520812553,3.501353270118741,1.0432086288116262
Y11581,0.01873874455257111,1.3352491692302346,0.9660879453190614
Y11582,0.15156009781917743,3.80211606405001,2.835592782562042
Y11583,0.04550857234151504,2.411215153519205,0.775429389855323
Y11584,0.10360707854944877,1.7634167093283275,1.7797919780793168
Y11585,0.29125336095078186,4.088055527775209,1.681949895762531
Y11586,0.10127973949012187,4.046746204685992,3.030560404897903
Y11587,0.053748202177487235,0.8939833612812377,0.24880406232042662
Y11588,0.22049919673507956,6.051987908877869,1.7072465941812953
Y11589,0.2798464215065734,4.7444252841302905,3.454631570493726
Y11590,0.17018993499764865,5.028668583082034,0.7491999402259568
Y11591,0.014934417827318322,3.373278588756513,1.6646019834431962
Y11592,0.06166386013091959,3.9359519599262494,3.3657682374675937
Y11593,0.23657018315282063,7.958425509352764,1.6130945180883245
Y11594,0.019344300755645902,1.072297481238923,0.3155064097371081
Y11595,0.3996736871983539,5.4204143050713975,1.9866081909776026
Y11596,0.036023141666356506,2.506669599801509,0.672487552580777
Y11597,0.0658186246703295,2.5810127600453145,0.6043571853637965
Y11598,0.1826789763046038,3.7602632253446635,1.7964495555545121
Y11599,0.2750275875451485,8.652593852837148,0.8392067237547352
Y11600,0.04779786064678652,0.9707673939896537,0.1499101098550692
Y11601,0.6684246026226218,5.496443838861006,2.6087929752897034
Y11602,0.1430928839800065,3.35306520580186,1.7749061073952086
Y11603,0.08471696569148347,1.6457473067657933,0.6850818140631914
Y11604,0.141687399258279,6.689215208258451,2.3982888613517037
Y11605,0.31142094326557024,12.929352589579212,1.1766912809911643
Y11606,0.04771174448965398,3.2673933332967793,1.4331790982394899
Y11607,0.14427097850928147,3.439888158062835,1.821442635054991
Y11608,0.07655076803480179,1.9091959537798955,1.1964037558417702
Y11609,0.07808746187045858,2.111323699215899,1.1816999922330134
Y11610,0.15018788438482109,6.92448210744191,1.1652254520020597
Y11611,0.30775138100049887,12.696807310177967,1.188140790198707
Y11612,0.2366365664784167,10.70558405956897,2.1134921124154804
Y11613,0.1655547532421863,3.9923834675013334,1.0070223706886843
Y11614,0.03712386334006174,1.0877030673179366,1.2332457730003603
Y11615,0.13151124444839765,4.058553461207026,1.598329925013816
Y11616,0.07124332934776441,3.5564334623661416,1.6922013334291905
Y11617,0.1764080795298297,6.455833021341878,1.8782985252398516
Y11618,0.13482295664013774,6.060062588286745,6.822593663235546
Y11619,0.06090120015780657,2.5816832983193394,0.531648454254354
Y11620,0.3519263288910561,15.26545603917577,1.1887739974548421
Y11621,0.148645470058283,6.429086960191874,4.362982035333481
Y11622,0.1329691114647663,6.624073483464615,1.9280720507336218
Y11623,0.14922899779705143,5.728715319936368,1.8152337538420644
Y11624,0.37220497111821715,9.452393728856164,13.984784374499615
Y11625,0.15327080282224517,4.729939016207173,0.5336862006464952
Y11626,0.11645892996716316,3.15563797970021,0.46250581187971085
Y11627,0.44121982720087144,13.126977166755584,2.0372084495126077
Y11628,0.5152074465190262,17.981045695277583,2.1060246418261848
Y11629,0.1909772182937893,7.508173821417876,1.7254188281155975
Y11630,0.3006200076814202,13.119412415157296,2.2561025669673365
Y11631,0.25962897459809825,8.417128795061085,1.3272100329276937
Y11632,0.37544466843243396,13.512328999149664,2.8823092569218787
Y11633,0.33071660897682315,14.210564096193744,1.7111248006222148
Y11634,0.37393744898275155,16.12499651270303,1.6127810472861357
Y11635,0.30555071987847854,13.449295604120543,1.6751703934234312
Y11636,0.41740478312832324,17.12767789214255,1.6562475920561246
Y11637,0.46686151170820045,19.691260294294427,1.5872722290349355
Y11638,0.05384088738239815,3.182684734534463,0.753329934518407
Y11639,0.07155785990685992,5.940778417515404,3.242373243237793
Y11640,0.1185941322805728,6.944237466619802,3.573347215550985
Y11641,0.06447058474188838,1.931480509709713,0.8904020524524494
Y11642,0.19091603315510716,4.871127249664686,0.8298386213178736
Y11643,0.11281203148730785,5.610358942747608,1.1381755566397107
Y11644,0.09531948885786112,5.714189133373194,2.54177541753512
Y11645,0.17395497149073771,8.848701703673203,2.7096410849603463
Y11646,0.11119596043839734,7.641433606702831,1.6688523063341356
Y11647,0.13321474955513943,9.499314357097221,3.073501759250476
